,Month,Day,Year,Assgn_dam,NodeCount_x,NodeCount_y
556,1,22,2023,18.0,5,30
557,1,22,2023,95.0,18,37
558,1,22,2023,99.0,22,44
559,1,22,2023,103.0,22,48
560,1,22,2024,620.0,49,47
561,1,22,2025,48.0,6,48
562,1,22,2025,297.0,14,43
563,1,22,2025,525.0,11,34
564,1,22,2025,587.0,49,47
565,1,22,2025,8670.0,7,44
566,1,23,2015,15.0,15,5
567,1,23,2015,18.0,5,27
568,1,23,2017,8532.0,34,38
569,1,23,2018,95.0,10,20
570,1,23,2018,8591.0,18,37
571,1,23,2018,8595.0,18,47
572,1,23,2018,8604.0,48,33
573,1,23,2018,8617.0,49,49
574,1,23,2018,8626.0,50,50
575,1,23,2018,8629.0,40,46
576,1,23,2021,15.0,20,5
577,1,23,2021,28.0,22,32
578,1,23,2021,30.0,48,48
579,1,23,2022,301.0,12,38
580,1,23,2022,306.0,25,32
581,1,23,2022,567.0,20,24
582,1,23,2022,585.0,6,30
583,1,23,2022,587.0,6,39
584,1,23,2022,591.0,17,29
585,1,23,2022,620.0,43,39
586,1,23,2022,8545.0,48,49
587,1,23,2022,8546.0,37,47
588,1,23,2022,8550.0,46,50
589,1,23,2022,8560.0,50,49
590,1,23,2022,8562.0,6,50
591,1,23,2025,298.0,8,38
592,1,23,2025,301.0,9,35
593,1,23,2025,306.0,25,47
594,1,23,2025,8560.0,50,49
595,1,23,2025,8562.0,6,49
596,1,24,2014,297.0,8,42
597,1,24,2014,298.0,8,36
598,1,24,2014,301.0,10,38
599,1,24,2014,305.0,47,46
600,1,24,2014,306.0,26,48
601,1,24,2014,8545.0,49,50
602,1,24,2014,8548.0,39,43
603,1,24,2015,95.0,11,37
604,1,24,2015,99.0,16,44
605,1,24,2015,103.0,21,42
606,1,24,2015,426.0,6,50
607,1,24,2015,428.0,34,44
608,1,24,2015,436.0,49,46
609,1,24,2015,8626.0,50,50
610,1,24,2015,8629.0,37,41
611,1,24,2017,525.0,11,30
612,1,24,2017,554.0,30,46
613,1,24,2017,567.0,19,48
614,1,24,2017,587.0,43,22
615,1,24,2017,8670.0,21,46
616,1,24,2018,246.0,44,49
617,1,24,2019,59.0,33,47
618,1,24,2019,60.0,24,44
619,1,24,2019,317.0,37,47
620,1,24,2019,8550.0,45,50
621,1,24,2022,620.0,49,47
622,1,24,2023,48.0,12,44
623,1,24,2023,501.0,6,17
624,1,24,2023,525.0,11,36
625,1,24,2025,317.0,32,47
626,1,24,2025,8550.0,46,50
627,1,25,2015,225.0,31,38
628,1,25,2015,231.0,11,26
629,1,25,2015,232.0,24,47
630,1,25,2018,453.0,21,23
631,1,25,2018,454.0,32,36
632,1,25,2018,484.0,19,31
633,1,25,2018,488.0,18,49
634,1,25,2018,8644.0,13,18
635,1,25,2018,8658.0,9,49
636,1,25,2018,8660.0,5,50
637,1,25,2022,8590.0,12,18
638,1,25,2022,8594.0,8,49
639,1,25,2022,8597.0,5,35
640,1,25,2022,8612.0,49,46
641,1,25,2022,8628.0,50,47
642,1,25,2022,8631.0,50,48
643,1,26,2014,60.0,33,46
644,1,26,2018,310.0,43,31
645,1,26,2019,95.0,10,30
646,1,26,2019,8626.0,33,34
647,1,26,2019,8629.0,41,48
648,1,26,2019,8637.0,41,49
649,1,26,2020,567.0,22,42
650,1,26,2020,585.0,6,30
651,1,26,2020,587.0,48,47
652,1,26,2020,591.0,46,47
653,1,26,2020,620.0,43,36
654,1,26,2020,8678.0,22,26
655,1,26,2022,95.0,12,24
656,1,26,2022,8591.0,24,39
657,1,26,2022,8595.0,19,47
658,1,26,2022,8622.0,46,46
659,1,26,2022,8626.0,50,50
660,1,26,2022,8629.0,41,43
661,1,26,2022,8631.0,50,47
662,1,26,2022,8637.0,40,49
663,1,26,2022,8639.0,21,49
664,1,26,2025,95.0,9,22
665,1,27,2015,269.0,24,8
666,1,27,2015,293.0,23,34
667,1,27,2015,297.0,12,42
668,1,27,2015,298.0,8,33
669,1,27,2015,301.0,11,37
670,1,27,2015,305.0,48,50
671,1,27,2015,306.0,23,46
672,1,27,2015,8545.0,49,50
673,1,27,2016,95.0,12,38
674,1,27,2016,99.0,18,44
675,1,27,2016,103.0,21,42
676,1,27,2017,60.0,33,47
677,1,27,2017,8591.0,21,39
678,1,27,2017,8594.0,8,49
679,1,27,2017,8595.0,19,48
680,1,27,2017,8612.0,49,46
681,1,27,2019,225.0,6,42
682,1,27,2020,59.0,35,48
683,1,27,2020,60.0,31,46
684,1,27,2022,15.0,15,6
685,1,27,2022,18.0,5,27
686,1,27,2022,95.0,12,38
687,1,27,2022,99.0,18,44
688,1,27,2022,103.0,20,42
689,1,27,2022,426.0,6,49
690,1,27,2022,428.0,33,44
691,1,27,2022,431.0,46,47
692,1,27,2022,436.0,49,48
693,1,27,2022,8626.0,50,50
694,1,27,2022,8629.0,41,43
695,1,27,2022,8635.0,50,49
